Id,Predicted
candidate11,0.317099661
candidate13,0.627650619
candidate15,0.486653179
candidate17,0.514649093
candidate22,0.40078482
candidate26,0.480168939
candidate33,0.490003854
candidate40,0.623431325
candidate42,0.554358721
candidate49,0.539526105
candidate56,0.441875458
candidate59,0.47606653
candidate60,0.451228052
candidate68,0.481857896
candidate75,0.339280546
candidate76,0.466623187
candidate77,0.336731702
candidate79,0.536728203
candidate85,0.378608137
candidate99,0.569448173
candidate100,0.440414876
candidate103,0.443293691
candidate107,0.355899215
candidate108,0.59456408
candidate112,0.565867245
candidate116,0.538787603
candidate117,0.41188091
candidate118,0.58245194
candidate128,0.79574312
candidate129,0.85237646
candidate132,0.75333902
candidate137,0.083218524
candidate144,0.073587788
candidate146,0.907976845
candidate149,0.665529748
candidate165,0.661491486
candidate167,0.940765473
candidate170,0.125105177
candidate174,0.852066323
candidate178,0.175300271
candidate189,0.119727882
candidate191,0.237497634
candidate194,0.144520601
candidate195,0.538001967
candidate197,0.038928103
candidate201,0.189601584
candidate204,0.725149412
candidate223,0.15354965
candidate239,0.319411741
candidate251,0.315432218
candidate252,0.938656538
candidate259,0.685381111
candidate264,0.294813022
candidate268,0.716464332
candidate274,0.192718019
candidate275,0.735703984
candidate278,0.297853766
candidate284,0.016852811
candidate286,0.447737135
candidate290,0.543604427
candidate300,0.353038308
candidate301,0.756407187
candidate302,0.974883291
candidate309,0.838983607
candidate312,0.461231704
candidate329,0.759083507
candidate333,0.794400192
candidate344,0.469098963
candidate346,0.305760917
candidate348,0.012055497
candidate354,0.695629466
candidate357,0.134102845
candidate360,0.568382647
candidate363,0.761350713
candidate368,0.640156404
candidate373,0.52491279
candidate384,0.382827776
candidate390,0.89514209
candidate394,0.174881378
candidate396,0.229755342
candidate397,0.137210576
candidate398,0.234644411
candidate402,0.320987142
candidate403,0.057744648
candidate412,0.194520445
candidate424,0.041429286
candidate427,0.366934494
candidate431,0.893157031
candidate439,0.668239176
candidate440,0.454298049
candidate450,0.465036899
candidate451,0.779752254
candidate455,0.490706414
candidate456,0.572467148
candidate458,0.465262175
candidate459,0.395777047
candidate463,0.50863111
candidate466,0.693481565
candidate483,0.556209803
candidate486,0.387207329
candidate489,0.555673659
candidate491,0.801956356
candidate493,0.479231268
candidate498,0.470956534
candidate499,0.414357483
candidate502,0.408240497
candidate509,0.511126161
candidate513,0.402285606
candidate524,0.57269001
candidate530,0.726822376
candidate544,0.444296956
candidate556,0.349268377
candidate563,0.435095608
candidate564,0.70561111
candidate565,0.627144754
candidate580,0.477467865
candidate582,0.604577482
